"DATE/TIME","TYPE","ORDER#","TRADE#","REL. ORDER#","PRODUCT","UNITS/AMT","PRICE","BOUNDARY PRICE","STOP LOSS","TAKE PROFIT","MARGIN (AUD)","CONVERSION RATE","VALUE (AUD)","AMOUNT (AUD)","BALANCE (AUD)","AMOUNT EXCLUDING FEE","FEE","HOLDING COST - AMOUNT","HOLDING RATE","HOLDING COST (AUD)","HOLDING COST - TOTAL (AUD)","PREMIUM","REFUND %","TARGET","WIN PAYOUT","DRAW PAYOUT","OPEN","EXPIRY","SETTLEMENT","SETTLEMENT PRICE","RESULT","PAYOUT","TYPE","EXPIRY","STRIKE PRICE","SETTLEMENT","SETTLEMENT PRICE","PROFIT","LOSS"
"27 May 2026 11:14:09","Commission Charge","1599578232","-","O4-FF-9HZTMH","NRW Holdings","1,500 Uts","-","-","-","-","-","-","-","-10.21","17,787.74","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 11:14:09","Buy Trade","O4-FF-9HZTMH","T4-FF-6Q698L","-","NRW Holdings","1,500 Uts","7.560","-","7.140","-","-","1","11,340.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 11:08:24","Commission Charge","1599576244","-","O4-FF-9HZT91","Superloop Ltd","600 Uts","-","-","-","-","-","-","-","-7.00","17,797.95","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 11:08:23","Buy Trade","O4-FF-9HZT91","T4-FF-6Q68Y0","-","Superloop Ltd","600 Uts","3.660","-","3.400","-","-","1","2,196.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 11:02:30","Stop Loss Modified","O4-FE-9HNY7K","-","O4-FE-9HNY7L","Dyno Nobel Ltd","4,000 Uts","3.680","-","3.700","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 11:02:02","Stop Loss Modified","O4-FF-9HSL39","-","O4-FF-9HSL3B","Macmahon Holdings Ltd","4,500 Uts","0.885","-","0.894","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 11:01:46","Stop Loss Modified","O4-FF-9HSGCB","-","O4-FF-9HSGCC","Megaport Ltd","1,000 Uts","13.170","-","14.174","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 11:00:49","Stop Loss Modified","O4-FF-9HW723","-","O4-FF-9HW724","NRW Holdings","2,000 Uts","7.460","-","7.478","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 11:00:33","Stop Loss Modified","O4-FF-9HVYJZ","-","O4-FF-9HVYK0","Codan Ltd","250 Uts","40.960","-","41.150","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 07:01:14","Holding Cost","1599392327","-","-","Account","-","-","-","-","-","-","-","-","-10.82","17,804.95","-","-","-","-","-","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 07:01:14","Holding Cost","O4-FF-9HVYJZ","-","-","Codan Ltd","-","-","-","-","-","-","-","-","-","-","-","-","10,306.25","-6.80510%","-1.92","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 07:01:14","Holding Cost","O4-FF-9HSGCB","-","-","Megaport Ltd","-","-","-","-","-","-","-","-","-","-","-","-","13,825.00","-6.80510%","-2.58","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 07:01:14","Holding Cost","O4-FF-9HW723","-","-","NRW Holdings","-","-","-","-","-","-","-","-","-","-","-","-","14,840.00","-6.80510%","-2.77","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 07:01:14","Holding Cost","O4-FE-9HNY7K","-","-","Dyno Nobel Ltd","-","-","-","-","-","-","-","-","-","-","-","-","14,900.00","-6.80510%","-2.78","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"27 May 2026 07:01:14","Holding Cost","O4-FF-9HSL39","-","-","Macmahon Holdings Ltd","-","-","-","-","-","-","-","-","-","-","-","-","4,151.25","-6.80510%","-0.77","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 15:59:55","Stop Loss Modified","O4-FF-9HW723","-","O4-FF-9HW724","NRW Holdings","2,000 Uts","7.460","-","7.198","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 13:35:15","Commission Charge","1598817066","-","O4-FF-9HSEZV","Starpharma Holdings Ltd","20,000 Uts","-","-","-","-","-","-","-","-11.70","17,815.77","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 13:35:15","Stop Loss","O4-FF-9HSEZT","T4-FF-6Q35ZS","-","Starpharma Holdings Ltd","20,000 Uts","0.650","-","-","-","-","-","13,000.00","400.00","17,827.47","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 13:03:58","Commission Charge","1598811999","-","O4-FF-9HW723","NRW Holdings","2,000 Uts","-","-","-","-","-","-","-","-13.43","17,427.47","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 13:03:58","Buy Trade","O4-FF-9HW723","T4-FF-6Q351N","-","NRW Holdings","2,000 Uts","7.460","-","6.950","-","-","1","14,920.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 12:30:28","Commission Charge","1598806480","-","O4-FF-9HSFJ0","Minerals 260 Ltd","20,000 Uts","-","-","-","-","-","-","-","-15.30","17,440.90","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 12:30:28","Stop Loss","O4-FF-9HSFHZ","T4-FF-6Q33T0","-","Minerals 260 Ltd","20,000 Uts","0.850","-","-","-","-","-","17,000.00","-400.00","17,456.20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 11:33:07","Commission Charge","1598792876","-","O4-FF-9HSF2C","Iluka Resources Ltd","2,000 Uts","-","-","-","-","-","-","-","-14.27","17,856.20","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 11:33:07","Stop Loss","O4-FF-9HSF2B","T4-FF-6Q309V","-","Iluka Resources Ltd","2,000 Uts","7.930","-","-","-","-","-","15,860.00","-440.00","17,870.47","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 11:21:14","Stop Loss Modified","O4-FF-9HSFHZ","-","O4-FF-9HSFJ0","Minerals 260 Ltd","20,000 Uts","0.870","-","0.853","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 10:59:10","Commission Charge","1598782669","-","O4-FF-9HVYJZ","Codan Ltd","250 Uts","-","-","-","-","-","-","-","-9.22","18,310.47","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 10:59:10","Buy Trade","O4-FF-9HVYJZ","T4-FF-6Q2XV3","-","Codan Ltd","250 Uts","40.960","-","38.860","-","-","1","10,240.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 10:28:10","Stop Loss Modified","O4-FF-9HSGCB","-","O4-FF-9HSGCC","Megaport Ltd","1,000 Uts","13.170","-","13.366","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 10:27:52","Stop Loss Modified","O4-FF-9HSEZT","-","O4-FF-9HSEZV","Starpharma Holdings Ltd","20,000 Uts","0.630","-","0.650","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 10:27:29","Stop Loss Modified","O4-FF-9HSFHZ","-","O4-FF-9HSFJ0","Minerals 260 Ltd","20,000 Uts","0.870","-","0.833","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 10:26:33","Stop Loss Modified","O4-FF-9HSF2B","-","O4-FF-9HSF2C","Iluka Resources Ltd","2,000 Uts","8.150","-","7.933","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 10:08:42","Commission Charge","1598768211","-","O4-FF-9HSFP7","Artrya Ltd","1,000 Uts","-","-","-","-","-","-","-","-7.00","18,319.69","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 10:08:42","Stop Loss","O4-FF-9HSFP6","T4-FF-6Q2TBJ","-","Artrya Ltd","1,000 Uts","4.550","-","-","-","-","-","4,550.00","-380.00","18,326.69","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 10:07:29","Stop Loss Modified","O4-FF-9HSFHZ","-","O4-FF-9HSFJ0","Minerals 260 Ltd","20,000 Uts","0.870","-","0.824","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 07:01:09","Holding Cost","1598590610","-","-","Account","-","-","-","-","-","-","-","-","-15.58","18,706.69","-","-","-","-","-","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 07:01:09","Holding Cost","O4-FF-9HSFP6","-","-","Artrya Ltd","-","-","-","-","-","-","-","-","-","-","-","-","4,750.00","-6.80620%","-0.89","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 07:01:09","Holding Cost","O4-FF-9HSEZT","-","-","Starpharma Holdings Ltd","-","-","-","-","-","-","-","-","-","-","-","-","12,800.00","-6.80620%","-2.39","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 07:01:09","Holding Cost","O4-FF-9HSGCB","-","-","Megaport Ltd","-","-","-","-","-","-","-","-","-","-","-","-","13,600.00","-6.80620%","-2.54","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 07:01:09","Holding Cost","O4-FE-9HNY7K","-","-","Dyno Nobel Ltd","-","-","-","-","-","-","-","-","-","-","-","-","14,820.00","-6.80620%","-2.76","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 07:01:09","Holding Cost","O4-FF-9HSF2B","-","-","Iluka Resources Ltd","-","-","-","-","-","-","-","-","-","-","-","-","16,030.00","-6.80620%","-2.99","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 07:01:09","Holding Cost","O4-FF-9HSL39","-","-","Macmahon Holdings Ltd","-","-","-","-","-","-","-","-","-","-","-","-","4,061.25","-6.80620%","-0.76","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"26 May 2026 07:01:09","Holding Cost","O4-FF-9HSFHZ","-","-","Minerals 260 Ltd","-","-","-","-","-","-","-","-","-","-","-","-","17,450.00","-6.80620%","-3.25","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"25 May 2026 15:59:58","Commission Charge","1598317627","-","O4-FF-9HT1JD","Artrya Ltd","1,000 Uts","-","-","-","-","-","-","-","-7.00","18,722.27","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"25 May 2026 15:59:58","Close Trade","O4-FF-9HT1JD","T4-FF-6Q1C6Y","O4-FF-9HSFP6","Artrya Ltd","1,000 Uts","4.740","-","-","-","-","-","4,740.00","-190.00","18,729.27","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
