"DATE/TIME","TYPE","ORDER#","TRADE#","REL. ORDER#","PRODUCT","UNITS/AMT","PRICE","BOUNDARY PRICE","STOP LOSS","TAKE PROFIT","MARGIN (AUD)","CONVERSION RATE","VALUE (AUD)","AMOUNT (AUD)","BALANCE (AUD)","AMOUNT EXCLUDING FEE","FEE","HOLDING COST - AMOUNT","HOLDING RATE","HOLDING COST (AUD)","HOLDING COST - TOTAL (AUD)","PREMIUM","REFUND %","TARGET","WIN PAYOUT","DRAW PAYOUT","OPEN","EXPIRY","SETTLEMENT","SETTLEMENT PRICE","RESULT","PAYOUT","TYPE","EXPIRY","STRIKE PRICE","SETTLEMENT","SETTLEMENT PRICE","PROFIT","LOSS"
"29 May 2026 15:19:20","Stop Loss Modified","O4-FF-9J9ELY","-","O4-FF-9J9ELZ","Starpharma Holdings Ltd","12,000 Uts","0.700","-","0.664","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"29 May 2026 15:19:01","Commission Charge","1601353533","-","O4-FF-9JBEEE","Superloop Ltd","600 Uts","-","-","-","-","-","-","-","-7.00","18,807.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"29 May 2026 15:19:01","Close Trade","O4-FF-9JBEEE","T4-FF-6QGMQB","O4-FF-9HZT91","Superloop Ltd","600 Uts","3.470","-","-","-","-","-","2,082.00","-114.00","18,814.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"29 May 2026 14:57:52","Commission Charge","1601349681","-","O4-FF-9JBCMR","Codan Ltd","150 Uts","-","-","-","-","-","-","-","-7.00","18,928.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"29 May 2026 14:57:52","Buy Trade","O4-FF-9JBCMR","T4-FF-6QGL6G","-","Codan Ltd","150 Uts","42.640","-","40.250","-","-","1","6,396.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"29 May 2026 10:31:04","Commission Charge","1601288329","-","O4-FF-9J9FLK","European Lithium Ltd","15,000 Uts","-","-","-","-","-","-","-","-7.00","18,935.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"29 May 2026 10:31:04","Buy Trade","O4-FF-9J9FLK","T4-FF-6QFRG9","-","European Lithium Ltd","15,000 Uts","0.480","-","0.445","-","-","1","7,200.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"29 May 2026 10:20:41","Commission Charge","1601285685","-","O4-FF-9J9ELY","Starpharma Holdings Ltd","12,000 Uts","-","-","-","-","-","-","-","-7.56","18,942.78","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"29 May 2026 10:20:41","Buy Trade","O4-FF-9J9ELY","T4-FF-6QFQKM","-","Starpharma Holdings Ltd","12,000 Uts","0.700","-","0.645","-","-","1","8,400.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"29 May 2026 10:18:49","Commission Charge","1601285153","-","O4-FF-9J9ECJ","Megaport Ltd","1,000 Uts","-","-","-","-","-","-","-","-13.55","18,950.34","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"29 May 2026 10:18:49","Buy Trade","O4-FF-9J9ECJ","T4-FF-6QFQBL","-","Megaport Ltd","1,000 Uts","15.050","-","14.280","-","-","1","15,050.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"29 May 2026 10:12:21","Commission Charge","1601283654","-","O4-FF-9J9DV5","NRW Holdings","1,200 Uts","-","-","-","-","-","-","-","-8.21","18,963.89","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"29 May 2026 10:12:21","Buy Trade","O4-FF-9J9DV5","T4-FF-6QFPVX","-","NRW Holdings","1,200 Uts","7.600","-","7.380","-","-","1","9,120.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
